Model,Threshold,Precision,Recall,F1-score,Balanced Accuracy
Logistic Regression,0.1,0.063,1.0,0.119,0.5
Logistic Regression,0.15,0.064,0.994,0.121,0.51
Logistic Regression,0.2,0.068,0.967,0.127,0.538
Logistic Regression,0.25,0.075,0.932,0.139,0.58
Logistic Regression,0.3,0.083,0.894,0.152,0.615
Logistic Regression,0.35,0.092,0.836,0.166,0.64
Logistic Regression,0.4,0.099,0.781,0.176,0.651
Logistic Regression,0.45,0.107,0.727,0.187,0.66
Logistic Regression,0.5,0.123,0.65,0.207,0.669
Logistic Regression,0.55,0.139,0.564,0.223,0.664
Logistic Regression,0.6,0.165,0.477,0.246,0.657
Logistic Regression,0.65,0.193,0.385,0.257,0.638
Logistic Regression,0.7,0.234,0.315,0.268,0.623
Logistic Regression,0.75,0.267,0.255,0.261,0.604
Logistic Regression,0.8,0.312,0.196,0.241,0.584
Logistic Regression,0.85,0.372,0.145,0.208,0.564
Logistic Regression,0.9,0.45,0.068,0.118,0.531
Random Forest,0.1,0.063,1.0,0.119,0.5
Random Forest,0.15,0.063,0.998,0.119,0.5
Random Forest,0.2,0.064,0.991,0.121,0.511
Random Forest,0.25,0.071,0.95,0.132,0.554
Random Forest,0.3,0.084,0.893,0.153,0.618
Random Forest,0.35,0.09,0.836,0.163,0.635
Random Forest,0.4,0.098,0.798,0.175,0.652
Random Forest,0.45,0.105,0.747,0.184,0.66
Random Forest,0.5,0.121,0.661,0.205,0.669
Random Forest,0.55,0.15,0.563,0.237,0.674
Random Forest,0.6,0.181,0.469,0.261,0.663
Random Forest,0.65,0.202,0.354,0.258,0.63
Random Forest,0.7,0.245,0.281,0.261,0.611
Random Forest,0.75,0.299,0.201,0.24,0.584
Random Forest,0.8,0.364,0.136,0.198,0.56
Random Forest,0.85,0.426,0.06,0.106,0.527
Random Forest,0.9,0.556,0.008,0.015,0.504
Tuned Random Forest,0.1,0.063,1.0,0.119,0.5
Tuned Random Forest,0.15,0.063,1.0,0.119,0.5
Tuned Random Forest,0.2,0.063,1.0,0.119,0.5
Tuned Random Forest,0.25,0.064,0.992,0.12,0.508
Tuned Random Forest,0.3,0.079,0.914,0.145,0.598
Tuned Random Forest,0.35,0.088,0.855,0.16,0.63
Tuned Random Forest,0.4,0.095,0.807,0.169,0.643
Tuned Random Forest,0.45,0.099,0.765,0.175,0.648
Tuned Random Forest,0.5,0.112,0.692,0.193,0.662
Tuned Random Forest,0.55,0.159,0.519,0.243,0.667
Tuned Random Forest,0.6,0.182,0.425,0.255,0.648
Tuned Random Forest,0.65,0.225,0.297,0.256,0.614
Tuned Random Forest,0.7,0.294,0.228,0.257,0.595
Tuned Random Forest,0.75,0.342,0.158,0.216,0.569
Tuned Random Forest,0.8,0.43,0.092,0.152,0.542
Tuned Random Forest,0.85,0.488,0.03,0.057,0.514
Tuned Random Forest,0.9,0.0,0.0,0.0,0.5
Gradient Boosting,0.1,0.063,1.0,0.119,0.501
Gradient Boosting,0.15,0.064,0.994,0.12,0.507
Gradient Boosting,0.2,0.068,0.97,0.127,0.538
Gradient Boosting,0.25,0.076,0.928,0.141,0.586
Gradient Boosting,0.3,0.086,0.876,0.156,0.623
Gradient Boosting,0.35,0.095,0.828,0.17,0.647
Gradient Boosting,0.4,0.101,0.772,0.178,0.654
Gradient Boosting,0.45,0.107,0.716,0.186,0.657
Gradient Boosting,0.5,0.122,0.643,0.205,0.665
Gradient Boosting,0.55,0.144,0.575,0.23,0.672
Gradient Boosting,0.6,0.175,0.478,0.256,0.663
Gradient Boosting,0.65,0.196,0.388,0.26,0.64
Gradient Boosting,0.7,0.225,0.32,0.264,0.623
Gradient Boosting,0.75,0.276,0.258,0.267,0.606
Gradient Boosting,0.8,0.325,0.183,0.234,0.579
Gradient Boosting,0.85,0.41,0.127,0.194,0.557
Gradient Boosting,0.9,0.486,0.051,0.093,0.524
